Products[1];Area[1,Country];Regions[2,Country];Country[3];Text[ATTR,3,Country];Pos;Day[DATE,dd.MM.yyyy];Units[MES];Cost of Sales[MES];column[MES,Turnover]
Desktop Pro;Europe;West;Ireland;West;41;13.05.2010;544342;2145.77;2565.31
Desktop Pro XL;Europe;West;Netherlands;West;42;01.05.2012;2689;13056;14077.5
Desktop Pro XL;Europe;West;United Kingdom;West;43;23.02.2011;10401;45599.6;54786.1
Desktop L;Europe;North;Sweden;North;44;09.10.2010;592841;2519.73;3203.94
Desktop L;Europe;West;Belgium;West;45;29.11.2012;1426;7182.78;7493.53
Desktop Pro XL;Europe;West;Luxembourg;West;46;19.08.2010;965087;4198.64;4557.01
Desktop Pro XL;Europe;North;Finland;North;47;09.10.2010;1445;6359.98;7206.68
Desktop L;Europe;East;Czech Republic;East;48;29.11.2012;6692;30899.5;32455.4
Desktop Pro;Europe;East;Austria;East;49;09.10.2010;4897;24340.6;22450.9
Desktop Pro XL;Europe;West;France;West;50;24.12.2012;7380;35096.1;34532.2
Desktop Pro XL;Europe;East;Poland;East;51;19.08.2010;3994;17499.6;20424.2
Desktop L;Europe;North;Denmark;North;52;24.12.2012;1337;5939.99;6091.94
Desktop Pro XL;Europe;South;Portugal;South;53;09.10.2010;1285;5704.94;6920.01
Desktop Pro;Europe;West;France;West;54;09.08.2011;7398;35531.8;34504.9
Desktop L;Europe;West;Switzerland;West;55;01.05.2012;4912;22670.8;24372.9
Desktop L;Europe;North;Norway;North;56;09.10.2010;830478;3828.98;4338.75
Desktop L;Europe;West;Belgium;West;57;17.07.2010;5171;23005;25495
Desktop L;Europe;South;Italy;South;58;23.04.2011;2928;12866.9;14335.5
Desktop Pro;Europe;West;Luxembourg;West;59;09.10.2010;250049;1209.01;1237.32
Desktop L;Europe;West;Ireland;West;60;13.07.2010;1280;5722.95;6379.94
Desktop L;Europe;East;Czech Republic;East;61;17.07.2010;2192;10563.1;10736.5
Desktop Pro XL;Europe;East;Czech Republic;East;62;13.07.2010;3468;15221.4;18038.2
Desktop Pro;Europe;East;Poland;East;63;09.10.2010;3437;14216.5;15890.9
Desktop Pro XL;Europe;South;Spain;South;64;13.05.2010;2086;9524.26;9582.04
Desktop Pro XL;Europe;West;Belgium;West;65;19.08.2010;1915;8268.87;9284.04
Desktop L;Europe;West;Germany;West;66;01.05.2012;61636;29237.1453;32715.9558
Desktop L;Europe;West;Netherlands;West;67;13.07.2010;2405;9508.11;12222.5
Desktop Pro XL;Europe;East;Austria;East;68;17.07.2010;3137;13229.2;15205
Desktop L;Europe;North;Finland;North;69;01.05.2012;2642;12102.9;12037
Desktop Pro XL;Europe;East;Poland;East;70;29.11.2012;4008;16834.7;19483.1
Desktop Pro XL;Europe;East;Czech Republic;East;71;19.08.2010;2340;10023.3;12462.5
Desktop L;Europe;West;Ireland;West;72;19.08.2010;1276;6004.35;6157.17
Desktop Pro;Europe;North;Denmark;North;73;01.05.2012;1277;6222.09;6914.92
Desktop Pro XL;Europe;West;Luxembourg;West;74;29.11.2012;738918;3540.1;3636.64
Desktop L;Europe;South;Portugal;South;75;01.05.2012;1005;4612.46;5148.75
Desktop L;Europe;West;Netherlands;West;76;19.08.2010;3893;17246.9;19610.2
Desktop Pro;Europe;West;Switzerland;West;77;23.04.2011;2780;11128.1;15220.3
Desktop Pro XL;Europe;West;Luxembourg;West;78;17.07.2010;724815;3753.01;3407.37
Desktop Pro;Europe;West;Belgium;West;79;09.10.2010;6091;28206.9;31045.6
Desktop Pro XL;Europe;East;Poland;East;80;17.07.2010;2524;11608.1;12150.6
Desktop L;Europe;West;Switzerland;West;81;09.08.2011;905;4074.63;4666.51
Desktop L;Europe;South;Italy;South;82;13.05.2010;10955;48566.8;50986.7
Desktop Pro XL;Europe;North;Sweden;North;83;09.10.2010;1894;7294.37;9121.51
Desktop Pro;Europe;West;United Kingdom;West;84;24.12.2012;7968;38990.8;36044.1
Desktop Pro XL;Europe;West;Belgium;West;85;29.11.2012;5852;26391.6;29877.4
Desktop Pro;Europe;West;Germany;West;86;23.04.2011;58390;25830.7533;27372.2328
Desktop Pro XL;Europe;East;Czech Republic;East;87;29.11.2012;2216;10744.2;11381.9
Desktop L;Europe;West;Ireland;West;88;29.11.2012;2004;9180.74;9829.61
Desktop L;Europe;East;Austria;East;89;24.12.2012;5714;23957.2;29306.6
Desktop L;Europe;West;Germany;West;90;09.08.2011;36675;16223.5953;19382.7843
Desktop Pro XL;Europe;North;Denmark;North;91;24.12.2012;1402;5519.56;7307.81
Desktop L;Europe;North;Finland;North;92;09.08.2011;1466;6417.42;6970.97
Desktop Pro;Europe;West;France;West;93;13.07.2010;2114;9349.29;11235.2
Desktop Pro;Europe;South;Portugal;South;94;23.04.2011;1269;5275.71;6473.49
Desktop Pro XL;Europe;West;Switzerland;West;95;01.05.2012;3740;16684;18407
Desktop L;Europe;West;Netherlands;West;96;29.11.2012;4554;19659.5;23096.2
Desktop Pro XL;Europe;West;Belgium;West;97;17.07.2010;1112;4986.36;5486.36
Desktop Pro;Europe;North;Denmark;North;98;09.08.2011;4751;21077.4;25384.2
Desktop L;Europe;South;Portugal;South;99;09.08.2011;1015;4504.53;5464.31
Desktop Pro;Europe;North;Finland;North;100;23.04.2011;619501;2972.61;3328.34
Desktop Pro XL;Europe;West;Ireland;West;101;13.07.2010;1457;6076.62;6706.29
Desktop Pro;Europe;West;Switzerland;West;102;13.05.2010;963378;4756.17;4794.6
Desktop L;Europe;West;France;West;103;13.01.2013;10019;43062.7;51413.6
Desktop Pro XL;Europe;East;Czech Republic;East;104;17.07.2010;2490;10342.6;13384.2
Desktop L;Europe;West;Luxembourg;West;105;24.12.2012;845348;3617.32;3909.8
Desktop L;Europe;East;Poland;East;106;24.12.2012;7942;32480.2;40925.7
Desktop L;Europe;South;Spain;South;107;09.10.2010;2666;11193.8;12624
Desktop L;Europe;West;Ireland;West;108;17.07.2010;2197;9979.89;10897.8
Desktop Pro XL;Europe;West;Germany;West;109;01.05.2012;53113;23629.122;27721.9107
Desktop Pro XL;Europe;West;Netherlands;West;110;13.07.2010;1852;7684.33;10126.1
Desktop L;Europe;West;Netherlands;West;111;17.07.2010;5300;23006;24873.8
Desktop Pro XL;Europe;North;Finland;North;112;01.05.2012;645236;2973.05;3424.53
Desktop Pro;Europe;East;Austria;East;113;01.05.2012;3474;14535;18648.5
Desktop Pro XL;Europe;North;Norway;North;114;09.10.2010;594;2291.02;3088.79
Desktop L;Europe;North;Sweden;North;115;01.05.2012;3401;16356.3;17355.2
Desktop Pro XL;Europe;West;Ireland;West;116;19.08.2010;1414;7111.97;7256.08
Desktop Pro;Europe;West;Germany;West;117;13.05.2010;10646;44518.4289;55938.1185
Desktop Pro;Europe;West;France;West;118;19.08.2010;14029;54724.5;73835.4
Desktop Pro;Europe;North;Finland;North;119;13.05.2010;1161;5329.48;6243.43
Desktop L;Europe;West;France;West;120;23.02.2011;8760;40643;39701.9
Desktop L;Europe;North;Norway;North;121;01.05.2012;1815;8631.73;8759.64
Desktop Pro XL;Europe;West;Netherlands;West;122;19.08.2010;4785;21276.9;25497.3
Desktop Pro;Europe;East;Slovakia;East;123;23.02.2011;480427;2215.77;2524.36
Desktop Pro;Europe;West;Luxembourg;West;124;01.05.2012;566138;2569.62;2817.51
Desktop L;Europe;West;Belgium;West;125;24.12.2012;3613;16984.4;18040.1
Desktop L;Europe;West;Switzerland;West;126;13.07.2010;3906;18983.6;17822.3
Desktop Pro XL;Europe;West;Switzerland;West;127;09.08.2011;2184;10208.6;10113.8
Desktop Pro;Europe;East;Poland;East;128;01.05.2012;1527;6413.43;7227.2
Desktop Pro;Europe;West;France;West;129;29.11.2012;10521;44248.6;53162
Desktop Pro;Europe;West;Ireland;West;130;09.10.2010;1582;6622.86;7200.6
Desktop L;Europe;East;Czech Republic;East;131;24.12.2012;2222;9232.32;10202.7
Desktop Pro;Europe;North;Sweden;North;132;23.04.2011;576821;2959.73;2903.82
Desktop Pro XL;Europe;South;Italy;South;133;23.04.2011;2374;11661.3;10937.2
Desktop Pro XL;Europe;South;Italy;South;134;13.05.2010;4311;16948.6;20396.5
Desktop L;Europe;North;Sweden;North;135;09.08.2011;1374;6897.31;6904.41
Desktop Pro;Europe;West;Netherlands;West;136;09.10.2010;1566;7273.45;7247.72
Desktop L;Europe;West;Switzerland;West;137;19.08.2010;1209;5618.11;5812.7
Desktop Pro XL;Europe;East;Austria;East;138;24.12.2012;2271;10358.5;10655.5
Desktop L;Europe;West;Germany;West;139;13.07.2010;65045;31127.3226;29205.7821
Desktop Pro XL;Europe;West;Germany;West;140;09.08.2011;24967;11690.9595;11020.0266
Desktop L;Europe;North;Finland;North;141;13.07.2010;1004;3927.63;5035.18
Desktop Pro;Europe;East;Austria;East;142;09.08.2011;4730;19153.7;24712.4
Desktop Pro;Europe;West;France;West;143;17.07.2010;2793;11550.7;13464.5
Desktop Pro;Europe;North;Denmark;North;144;13.07.2010;4135;18961.9;22347.3
Desktop Pro XL;Europe;West;Netherlands;West;145;29.11.2012;4936;21199.8;22382.9
Desktop Pro;Europe;North;Norway;North;146;23.04.2011;1053;4979.9;4873.89
Desktop Pro XL;Europe;North;Finland;North;147;09.08.2011;1152;5052.1;5538.7
Desktop L;Europe;South;Portugal;South;148;13.07.2010;2114;10099.5;10759.9
Desktop Pro;Europe;West;Belgium;West;149;01.05.2012;2811;14079.3;14754.1
Desktop L;Europe;West;Germany;West;150;19.08.2010;60969;30203.415;26628.9903
Desktop L;Europe;North;Norway;North;151;09.08.2011;2289;9363.38;11826
Desktop Pro XL;Europe;West;France;West;152;13.01.2013;3634;16367.9;17379.7
Desktop L;Europe;North;Denmark;North;153;13.01.2013;2394;9391.42;11703.9
Desktop L;Europe;North;Finland;North;154;19.08.2010;703276;2922.69;3226.12
Desktop Pro XL;Europe;East;Poland;East;155;24.12.2012;1387;6256.3;7025.83
Desktop Pro;Europe;East;Czech Republic;East;156;01.05.2012;5226;20699.6;28239.3
Desktop Pro;Europe;West;Luxembourg;West;157;09.08.2011;648121;3104.58;3179.21
Desktop Pro;Europe;North;Denmark;North;158;19.08.2010;2188;9863.95;9872.21
Desktop Pro XL;Europe;West;Netherlands;West;159;17.07.2010;1930;9411.02;9453.8
Desktop L;Europe;South;Portugal;South;160;19.08.2010;1780;8529.86;8210.69
Desktop Pro;Europe;East;Poland;East;161;09.08.2011;8658;40073.4;46729.1
Desktop Pro;Europe;North;Sweden;North;162;13.05.2010;454777;2257.51;2422.08
Desktop L;Europe;West;Switzerland;West;163;29.11.2012;4503;21254.1;22847.3
Desktop Pro XL;Europe;West;Luxembourg;West;164;24.12.2012;174118;823896;848891
Desktop Pro XL;Europe;South;Portugal;South;165;09.08.2011;1807;8271.43;9374.61
Desktop Pro XL;Europe;North;Sweden;North;166;01.05.2012;1414;6669.86;6580.67
Desktop Pro XL;Europe;South;Spain;South;167;09.10.2010;6841;32121.7;34174.2
Desktop Pro XL;Europe;West;Ireland;West;168;17.07.2010;707241;3204.97;3402.16
Desktop Pro XL;Europe;North;Norway;North;169;01.05.2012;1333;5947.5;6186.46
Desktop L;Europe;West;Germany;West;170;29.11.2012;96969;44426.9529;50238.9459
Desktop Pro;Europe;North;Norway;North;171;13.05.2010;1723;8265.22;8500.55
Desktop Pro XL;Europe;West;Switzerland;West;172;13.07.2010;962708;4165.68;5257.55
Desktop L;Europe;North;Finland;North;173;29.11.2012;3352;14894.6;15796
Desktop L;Europe;South;Italy;South;174;09.10.2010;7773;36839.9;37114.2
Desktop L;Europe;South;Spain;South;175;01.05.2012;7563;35331.3;34079.7
Desktop L;Europe;West;Ireland;West;176;24.12.2012;590334;2544.28;3041.02
Desktop L;Europe;West;Switzerland;West;177;17.07.2010;1316;5781.58;6793.87
Desktop Pro;Europe;North;Denmark;North;178;29.11.2012;4855;22562.4;23134.1
Desktop Pro XL;Europe;West;Belgium;West;179;24.12.2012;2240;9328.9;10158.3
Desktop L;Europe;South;Portugal;South;180;29.11.2012;4824;21099.1;24330.4
Desktop L;Europe;North;Sweden;North;181;13.07.2010;465;1938.51;2443.63
Desktop Pro XL;Europe;North;Sweden;North;182;09.08.2011;1233;5269.51;6562.51
Desktop Pro XL;Europe;West;Switzerland;West;183;19.08.2010;3280;15772.9;16318
Desktop L;Europe;West;Netherlands;West;184;24.12.2012;2539;11061;11606.5
Desktop Pro XL;Europe;West;Germany;West;185;13.07.2010;70517;29104.3962;30915.7299
Desktop L;Europe;West;Germany;West;186;17.07.2010;26881;12206.3832;14249.2383
Desktop Pro XL;Europe;North;Finland;North;187;13.07.2010;1020;4485.93;5571.31
Desktop L;Europe;North;Finland;North;188;17.07.2010;630084;2791.4;3129.3
Desktop Pro;Europe;East;Austria;East;189;13.07.2010;4570;21384.7;23995.5
Desktop Pro;Europe;West;United Kingdom;West;190;13.01.2013;8634;42593.8;46359.9
Desktop Pro;Europe;North;Denmark;North;191;17.07.2010;4488;19526.3;24674.7
Desktop Pro XL;Europe;South;Portugal;South;192;13.07.2010;1481;6486.48;7568.62
Desktop L;Europe;South;Portugal;South;193;17.07.2010;782;3357.81;4194.95
Desktop L;Europe;North;Norway;North;194;13.07.2010;1390;5696.55;7149.77
Desktop L;Europe;East;Austria;East;195;13.01.2013;1462;7209.02;7188.75
Desktop Pro XL;Europe;West;Germany;West;196;19.08.2010;27488;102854.4165;13058.8524
Desktop Pro;Europe;West;Ireland;West;197;01.05.2012;2223;10202.3;12090.6
Desktop Pro;Europe;West;Switzerland;West;198;09.10.2010;5606;25936.8;29771.6
Desktop Pro XL;Europe;North;Denmark;North;199;13.01.2013;1582;7000.3;7928.9
Desktop L;Europe;East;Slovakia;East;200;13.05.2010;325576;1426;1736.32
Desktop Pro;Europe;West;Luxembourg;West;201;13.07.2010;231205;941819;1080.71
Desktop Pro;Europe;South;Spain;South;202;23.04.2011;5361;24246;25621.5
Desktop Pro;Europe;East;Austria;East;203;19.08.2010;3152;14253.2;15666.5
Desktop Pro;Europe;East;Poland;East;204;13.07.2010;6782;28624.3;30750.4
Desktop Pro XL;Europe;South;Portugal;South;205;19.08.2010;1532;6627.55;7442.6
Desktop Pro;Europe;West;Netherlands;West;206;01.05.2012;925991;4593.7;4188.74
Desktop L;Europe;South;Spain;South;207;09.08.2011;4077;19929.3;21915.2
Desktop Pro XL;Europe;West;Switzerland;West;208;29.11.2012;3681;16174.4;20044.8
Desktop Pro;Europe;West;United Kingdom;West;209;23.02.2011;4674;20127.8;24851.6
Desktop Pro XL;Europe;North;Finland;North;210;19.08.2010;983878;4534.3;5092.37
Desktop L;Europe;East;Austria;East;211;23.02.2011;1868;8070.84;8590.3
Desktop L;Europe;East;Poland;East;212;13.01.2013;1320;5879.32;6624.2
Desktop Pro;Europe;West;Germany;West;213;09.10.2010;50077;22354.8831;23263.8714
Desktop Pro;Europe;East;Poland;East;214;19.08.2010;2647;11366.6;12915.1
Desktop L;Europe;North;Sweden;North;215;29.11.2012;1462;6859.06;7364.38
Desktop Pro;Europe;West;France;West;216;24.12.2012;4992;21114.6;26745.6
Desktop Pro XL;Europe;West;Germany;West;217;29.11.2012;19589;905623;934754
Desktop Pro;Europe;West;Luxembourg;West;218;19.08.2010;280668;1258.27;1363.03
Desktop Pro;Europe;South;Portugal;South;219;09.10.2010;1594;6860.44;8042.89
Desktop Pro XL;Europe;North;Finland;North;220;29.11.2012;406255;1951.48;1943.31
Desktop Pro;Europe;East;Austria;East;221;29.11.2012;1345;6372.57;6636.15
Desktop Pro XL;Europe;South;Italy;South;222;09.10.2010;1885;9207.24;9613.16
Desktop Pro;Europe;West;Belgium;West;223;13.07.2010;1425;6540.69;6996.9
Desktop Pro XL;Europe;West;Ireland;West;224;24.12.2012;984637;5035.83;4737.55
Desktop L;Europe;West;Luxembourg;West;225;23.02.2011;289909;1332.43;1322.27
Desktop Pro;Europe;North;Finland;North;226;09.10.2010;965757;4649.12;4890.63
Desktop Pro XL;Europe;East;Slovakia;East;227;23.04.2011;399731;1630.63;1858.02
Desktop L;Europe;East;Poland;East;228;23.02.2011;2449;11368.1;11685.1
Desktop Pro;Europe;West;Ireland;West;229;09.08.2011;548659;2650.43;2810.56
Desktop L;Europe;North;Norway;North;230;29.11.2012;876063;4031.12;4135.49
Desktop L;Europe;North;Sweden;North;231;17.07.2010;600339;2600.55;3017.87
Desktop Pro;Europe;South;Spain;South;232;13.05.2010;1775;8276.65;9083.78
Desktop L;Europe;West;Belgium;West;233;13.01.2013;4804;22771.2;24722.9
Desktop Pro;Europe;East;Czech Republic;East;234;13.07.2010;5801;26757.4;30742.3
Desktop Pro XL;Europe;West;Germany;West;235;17.07.2010;28915;13095.7695;13001.1354
Desktop Pro;Europe;West;Belgium;West;236;19.08.2010;5302;23795.1;25060.2
Desktop Pro;Europe;West;Luxembourg;West;237;29.11.2012;316052;1456.41;1689.18
Desktop Pro;Europe;West;Netherlands;West;238;09.08.2011;2300;10129.5;11150.1
Desktop L;Europe;East;Czech Republic;East;239;13.01.2013;2829;12100.6;14594.5
Desktop Pro XL;Europe;North;Finland;North;240;17.07.2010;471202;2168.52;2182.29
Desktop Pro;Europe;East;Poland;East;241;29.11.2012;3699;17688.8;19618.8
Desktop Pro;Europe;East;Czech Republic;East;242;19.08.2010;2617;11155.4;12659
Desktop Pro XL;Europe;South;Spain;South;243;01.05.2012;1522;7066.25;8189.95
Desktop Pro;Europe;East;Austria;East;244;17.07.2010;5405;24762;29393.2
Desktop Pro XL;Europe;South;Portugal;South;245;17.07.2010;1525;6885.91;6915.15
Desktop Pro XL;Europe;North;Sweden;North;246;19.08.2010;1081;4359.45;5383.85
Desktop Pro XL;Europe;West;Netherlands;West;247;24.12.2012;872601;3751.91;4384.63
Desktop Pro XL;Europe;East;Austria;East;248;13.01.2013;3126;13401.2;15098.9
Desktop Pro XL;Europe;North;Norway;North;249;13.07.2010;463726;1849.44;2442.27
Desktop L;Europe;South;Italy;South;250;01.05.2012;3977;17082.6;20083.1
Desktop L;Europe;West;Belgium;West;251;23.02.2011;1625;7255.48;8190.4
Desktop L;Europe;West;Switzerland;West;252;24.12.2012;3712;17152.3;20239.6
Desktop Pro XL;Europe;East;Slovakia;East;253;13.05.2010;547932;2388.4;2594.1
Desktop Pro XL;Europe;North;Sweden;North;254;13.07.2010;1297;5470.9;6144.18
Desktop L;Europe;East;Czech Republic;East;255;23.02.2011;6062;26971.2;30480.5
Desktop Pro;Europe;East;Poland;East;256;17.07.2010;1390;5527.12;6963.73
Desktop L;Europe;South;Spain;South;257;13.07.2010;1942;9745.34;8753.6
Desktop Pro XL;Europe;South;Spain;South;258;09.08.2011;4493;22859.3;22344.3
Desktop Pro XL;Europe;South;Portugal;South;259;29.11.2012;2322;10265.2;12069.6
Desktop L;Europe;West;United Kingdom;West;260;23.04.2011;4315;17164.7;22098.7
Desktop Pro XL;Europe;West;Luxembourg;West;261;13.01.2013;198323;926676;1061.01
Desktop Pro;Europe;West;Belgium;West;262;29.11.2012;1227;5764.87;6309.41
Desktop Pro;Europe;North;Sweden;North;263;09.10.2010;1749;8325.85;8986.69
Desktop Pro XL;Europe;East;Austria;East;264;23.02.2011;1287;5865.95;6242.23
Desktop L;Europe;West;Germany;West;265;24.12.2012;74784;33944.6745;32959.3473
Desktop Pro XL;Europe;North;Norway;North;266;19.08.2010;1304;5333.02;6791.79
Desktop Pro;Europe;East;Czech Republic;East;267;29.11.2012;3727;17246;20479.7
Desktop L;Europe;North;Finland;North;268;24.12.2012;3056;12961.7;15818.7
Desktop Pro XL;Europe;North;Sweden;North;269;29.11.2012;777166;3557.55;3567.29
Desktop L;Europe;South;Spain;South;270;19.08.2010;1935;8064.74;10256.7
Desktop Pro;Europe;North;Denmark;North;271;24.12.2012;3133;13173.4;14796.1
Desktop L;Europe;South;Portugal;South;272;24.12.2012;972;4265.93;5070.66
Desktop Pro;Europe;West;Switzerland;West;273;01.05.2012;1828;8335.86;9800.01
Desktop Pro;Europe;West;Belgium;West;274;17.07.2010;5576;23411.6;29207.9
Desktop Pro;Europe;South;Italy;South;275;23.04.2011;6039;26039.7;32166.3
Desktop Pro XL;Europe;East;Poland;East;276;23.02.2011;2880;11586.3;13461.2
Desktop Pro;Europe;West;Ireland;West;277;13.07.2010;461447;2158.81;2165.29
Desktop Pro;Europe;East;Czech Republic;East;278;17.07.2010;1308;5855.06;6673.59
Desktop Pro XL;Europe;North;Norway;North;279;29.11.2012;2277;8876.34;10412.1
Desktop Pro XL;Europe;North;Sweden;North;280;17.07.2010;461557;1928.2;2527.86
Desktop Pro;Europe;West;Germany;West;281;01.05.2012;83594;38840.1651;41131.8567
Desktop Pro;Europe;West;Netherlands;West;282;13.07.2010;1798;7597.73;9004.8
Desktop Pro XL;Europe;East;Czech Republic;East;283;13.01.2013;3785;18369.4;19995
Desktop L;Europe;West;Ireland;West;284;13.01.2013;1286;5402.97;6216.44
Desktop L;Europe;West;United Kingdom;West;285;13.05.2010;23071;98157.7;118788
Desktop Pro;Europe;West;Ireland;West;286;19.08.2010;1278;6117.03;6356.16
Desktop L;Europe;South;Spain;South;287;29.11.2012;2304;10714.3;10933.6
Desktop Pro;Europe;North;Finland;North;288;01.05.2012;2819;13815.6;13333.2
Desktop Pro;Europe;South;Portugal;South;289;01.05.2012;4000;16978.8;18937.8
Desktop L;Europe;West;Netherlands;West;290;13.01.2013;3634;14744.4;17464.5
Desktop Pro XL;Europe;South;Italy;South;291;01.05.2012;4218;21873.7;23060.7
Desktop Pro;Europe;West;Netherlands;West;292;19.08.2010;2026;8964.5;9129.68
Desktop Pro XL;Europe;West;Belgium;West;293;23.02.2011;5144;22978.2;25774.2
Desktop Pro XL;Europe;West;Switzerland;West;294;24.12.2012;2321;11414.4;11931
Desktop L;Europe;East;Slovakia;East;295;09.10.2010;291;1359.98;1486.61
Desktop Pro XL;Europe;East;Czech Republic;East;296;23.02.2011;3895;18024.5;17730.8
Desktop Pro;Europe;West;Switzerland;West;297;09.08.2011;1921;8452.68;9479.5
Desktop Pro;Europe;South;Italy;South;298;13.05.2010;2434;9881.21;12596
Desktop L;Europe;South;Spain;South;299;17.07.2010;4683;22978.7;23838.6
Desktop Pro XL;Europe;West;United Kingdom;West;300;23.04.2011;4882;19814.2;23358.1
Desktop L;Europe;North;Sweden;North;301;24.12.2012;1835;8567.64;9053.42
Desktop Pro XL;Europe;South;Spain;South;302;13.07.2010;4017;20849.9;18142.4
Desktop L;Europe;West;Netherlands;West;303;23.02.2011;3028;12799.8;14477
Desktop Pro XL;Europe;West;Germany;West;304;24.12.2012;83029;38219.6529;37605.5658
Desktop Pro;Europe;West;Ireland;West;305;29.11.2012;346031;1602.25;1684.51
Desktop Pro;Europe;East;Austria;East;306;24.12.2012;2577;11140.3;14150.4
Desktop Pro;Europe;West;Germany;West;307;09.08.2011;83232;38694.1302;37575.8361
Desktop Pro;Europe;North;Finland;North;308;09.08.2011;1008;4424.95;4829.7
Desktop Pro XL;Europe;South;Portugal;South;309;24.12.2012;1630;6661.57;8798.41
Desktop Pro;Europe;West;Netherlands;West;310;29.11.2012;4003;17260.7;18150.9
Desktop Pro XL;Europe;North;Finland;North;311;24.12.2012;987108;4443.48;5426.08
Desktop L;Europe;North;Norway;North;312;24.12.2012;1248;5764.96;5643.3
Desktop Pro;Europe;South;Portugal;South;313;09.08.2011;1937;8711.75;8839.92
Desktop L;Europe;South;Italy;South;314;13.07.2010;2507;12925;12284.3
Desktop Pro;Europe;West;France;West;315;13.01.2013;1907;7746.68;9950.11
Desktop Pro;Europe;West;Luxembourg;West;316;24.12.2012;660096;3211.95;3488.77
Desktop Pro XL;Europe;South;Italy;South;317;09.08.2011;1446;7156.96;7258
Desktop Pro;Europe;West;Ireland;West;318;17.07.2010;486121;2013.04;2321.56
Desktop Pro;Europe;North;Sweden;North;319;01.05.2012;1390;6322.58;6825.55
Desktop Pro;Europe;South;Spain;South;320;09.10.2010;1873;7881.43;9189.68
Desktop Pro XL;Europe;West;United Kingdom;West;321;13.05.2010;3169;15564.6;15166.6
Desktop Pro XL;Europe;South;Spain;South;322;29.11.2012;8505;41636.5;39594.1
Desktop Pro XL;Europe;West;Netherlands;West;323;13.01.2013;859228;3567.92;4411.65
Desktop Pro;Europe;West;France;West;324;23.02.2011;3549;14804.9;18229.1
