"VBELN";"ERDAT";"ERNAM";"VKORG";"KUNNR";"POSNR";"ARKTX";"NETWR";"WAERK";"KWMENG"
"10018";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 102";"105000.0E0";"EUR";"35.0E0"
"10019";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 103";"119000.0E0";"EUR";"35.0E0"
"10020";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 104";"103500.0E0";"EUR";"30.0E0"
"10021";"2007-04-23 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";""PAQ Bildschirm, 20"", Farbe"";"4928.8E0";"EUR";"4.0E0"
"10022";"2007-04-23 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";""PAQ Bildschirm, 20"", Farbe"";"24644.0E0";"EUR";"20.0E0"
"10023";"2007-04-26 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";""TFT Bildschirm, 17""1"";"2597.2E0";"EUR";"4.0E0"
"10024";"2007-04-26 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";""TFT Bildschirm, 17""1"";"16232.5E0";"EUR";"25.0E0"
"10027";"2007-05-04 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"Tastatur Standard - Modell EURO";"20143.2E0";"EUR";"336.0E0"
"10027";"2007-05-04 00:00:00.000000000";"MAASSBERG";"1000";"2130";"20";"Festplatte 10.80 GB / SCSI-2-Fast";"61410.2E0";"EUR";"278.0E0"
"10027";"2007-05-04 00:00:00.000000000";"MAASSBERG";"1000";"2130";"30";"SIM-Modul 4M x 36, 70 ns";"4922.0E0";"EUR";"92.0E0"
"10027";"2007-05-04 00:00:00.000000000";"MAASSBERG";"1000";"2130";"40";"Tastatur Profesional - Modell NATURAL";"19221.0E0";"EUR";"215.0E0"
"10029";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"1174";"10";"Motorradhelm - Standard";"170100.0E0";"EUR";"567.0E0"
"10029";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"1174";"20";""Scheinwerfer ""Deluxe"""";"74460.0E0";"EUR";""
"10030";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Flatscreen LE 50 P";"4499.0E0";"EUR";"10.0E0"
"10030";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2007";"20";"MAG DX 17F";"9111.3E0";"EUR";"11.0E0"
"10030";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2007";"30";"Flatscreen MS 1585";"9620.8E0";"EUR";"8.0E0"
"10030";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2007";"40";"Jotachi SN4000";"15859.8E0";"EUR";"11.0E0"
"10031";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Sunny Sunny 01";"5154.0E0";"EUR";"6.0E0"
"10032";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2004";"10";"Sunny Sunny 01";"30002.4E0";"EUR";"36.0E0"
"10032";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2004";"20";"MAG DX 17F";"29533.6E0";"EUR";"38.0E0"
"10032";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2004";"30";"Flatscreen MS 1585";"46056.0E0";"EUR";"40.0E0"
"10032";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"2004";"40";"Jotachi SN4000";"60019.4E0";"EUR";"43.0E0"
"10033";"2007-05-05 00:00:00.000000000";"MAASSBERG";"1000";"1033";"10";"Flatscreen LE 50 P";"12426.0E0";"EUR";"30.0E0"
"10034";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1033";"10";"Gluehlampe 60 Watt klar 220/235V";"30.14E0";"EUR";"80.0E0"
"10035";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1033";"10";"Gluehlampe 60 Watt klar 220/235V";"3.77E0";"EUR";"10.0E0"
"10036";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1300";"10";"Gluehlampe 80 Watt klar 220/235V";"19.66E0";"EUR";"50.0E0"
"10037";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1460";"10";"CD-ROM Laufwerk";"1120.5E0";"EUR";"15.0E0"
"10038";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1001";"10";"Gluehlampe 60 Watt klar 220/235V";"26.38E0";"EUR";"70.0E0"
"10039";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1002";"10";"Gluehlampe 80 Watt klar 220/235V";"31.46E0";"EUR";"80.0E0"
"10040";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"1100.0E0";"EUR";"1.0E0"
"10041";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"48400.0E0";"EUR";"44.0E0"
"10042";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"55000.0E0";"EUR";"44.0E0"
"10043";"2007-05-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"1250.0E0";"EUR";"1.0E0"
"10049";"2007-05-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Prozessor  700  MHz";"16566.0E0";"EUR";"60.0E0"
"10049";"2007-05-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"20";"SIM-Modul M8M x 32, 128MB  DDR-RAM";"7971.2E0";"EUR";"106.0E0"
"10049";"2007-05-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"30";"Tastatur Standard - Modell EURO-Special";"18463.5E0";"EUR";"330.0E0"
"10049";"2007-05-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"40";"Festplatte 21.49 GB / SCSI-2-Fast";"43258.6E0";"EUR";"154.0E0"
"10051";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"1901";"10";"Deluxe Gas Tank Striping Decals";"35954.59E0";"USD";""
"10051";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"1901";"20";"Deluxe Taillight";"26544.35E0";"USD";"745.0E0"
"10052";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"Flatscreen MS 1460 P";"9449.0E0";"EUR";"11.0E0"
"10052";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"20";"Flatscreen MS 1775P";"13937.0E0";"EUR";"11.0E0"
"10052";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"30";"MAG PA/DX 175";"10424.4E0";"EUR";"12.0E0"
"10052";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"40";"Jotachi SN4500";"11502.4E0";"EUR";"16.0E0"
"10053";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"Sunny Xa1";"5884.2E0";"EUR";"6.0E0"
"10054";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"2200";"10";"Flatscreen MS 1460 P";"57400.0E0";"EUR";"41.0E0"
"10054";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"2200";"20";"Sunny Xa1";"36681.4E0";"EUR";"38.0E0"
"10054";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"2200";"30";"MAG PA/DX 175";"34339.2E0";"EUR";"42.0E0"
"10054";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"2200";"40";"Flatscreen MS 1775P";"44455.5E0";"EUR";"37.0E0"
"10055";"2007-05-07 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"Jotachi SN4500";"27896.4E0";"EUR";"42.0E0"
"10061";"2007-05-10 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"Prozessor  500 MHz";"26014.8E0";"EUR";"163.0E0"
"10061";"2007-05-10 00:00:00.000000000";"MAASSBERG";"1000";"1172";"20";"SIM-Modul 256 MB 16M x 32, 70 ns";"10215.0E0";"EUR";"75.0E0"
"10061";"2007-05-10 00:00:00.000000000";"MAASSBERG";"1000";"1172";"30";"Tastatur Professional - Modell PROFITEC";"17420.0E0";"EUR";"268.0E0"
"10061";"2007-05-10 00:00:00.000000000";"MAASSBERG";"1000";"1172";"40";"Festplatte 42.94 GB / SCSI-2-Fast";"24816.0E0";"EUR";"80.0E0"
"10063";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"1900";"10";"SunFun / 1200 cm3";"1530000.0E0";"EUR";"102.0E0"
"10064";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"Flatscreen LE 64P";"11468.8E0";"EUR";"16.0E0"
"10064";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2130";"20";"Flatscreen MS 1785P";"18839.8E0";"EUR";"14.0E0"
"10064";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2130";"30";"SEC Multisync XV15";"10952.0E0";"EUR";"10.0E0"
"10064";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2130";"40";"Sunny Tetral3";"5669.4E0";"EUR";"6.0E0"
"10065";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Jotachi SN5000";"13817.6E0";"EUR";"16.0E0"
"10066";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2200";"10";"Flatscreen LE 64P";"28600.0E0";"EUR";"26.0E0"
"10066";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2200";"20";"Flatscreen MS 1785P";"57367.2E0";"EUR";"44.0E0"
"10066";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2200";"30";"SEC Multisync XV15";"36344.0E0";"EUR";"35.0E0"
"10066";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2200";"40";"Sunny Tetral3";"39802.5E0";"EUR";"45.0E0"
"10067";"2007-05-11 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"Jotachi SN5000";"33184.8E0";"EUR";"44.0E0"
"10072";"2007-05-12 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"SIM-Modul 8M x 36, 70 ns";"4976.4E0";"EUR";"52.0E0"
"10072";"2007-05-12 00:00:00.000000000";"MAASSBERG";"1000";"1360";"20";"Tastatur Professional - Modell MAXITEC";"18143.6E0";"EUR";"268.0E0"
"10072";"2007-05-12 00:00:00.000000000";"MAASSBERG";"1000";"1360";"30";"Festplatte 21.13 GB /  ATA-2";"72428.4E0";"EUR";"279.0E0"
"10074";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"2300";"10";"CrossFun / 350 cm3";"665000.0E0";"EUR";"95.0E0"
"10075";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"Flatscreen MS 1575P";"7866.6E0";"EUR";"7.0E0"
"10075";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1172";"20";"MAG DX 15F/Fe";"8661.4E0";"EUR";"11.0E0"
"10075";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1172";"30";"SEC Multisync XV 17";"10364.8E0";"EUR";"8.0E0"
"10075";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1172";"40";"Jotachi SN 7000";"9786.7E0";"EUR";"11.0E0"
"10076";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Sunny Extrem";"1016.5E0";"EUR";"1.0E0"
"10077";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1033";"10";"Flatscreen MS 1575P";"36250.0E0";"EUR";"29.0E0"
"10077";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1033";"20";"MAG DX 15F/Fe";"26162.5E0";"EUR";"35.0E0"
"10077";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1033";"30";"Sunny Extrem";"48970.2E0";"EUR";"51.0E0"
"10077";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"1033";"40";"SEC Multisync XV 17";"46417.0E0";"EUR";"38.0E0"
"10078";"2007-05-13 00:00:00.000000000";"MAASSBERG";"1000";"2004";"10";"Jotachi SN 7000";"35974.4E0";"EUR";"44.0E0"
"10084";"2007-05-18 00:00:00.000000000";"MAASSBERG";"1000";"2000";"10";"Pumpe PRECISION 104";"92215.8E0";"EUR";"27.0E0"
"10084";"2007-05-18 00:00:00.000000000";"MAASSBERG";"1000";"2000";"20";"Pumpe PRECISION 103";"106348.8E0";"EUR";"32.0E0"
"10084";"2007-05-18 00:00:00.000000000";"MAASSBERG";"1000";"2000";"30";"Pumpe Standard IDESNORM 100-402";"226163.4E0";"EUR";"71.0E0"
"10084";"2007-05-18 00:00:00.000000000";"MAASSBERG";"1000";"2000";"40";"Pumpe PRECISION 102";"78964.6E0";"EUR";"26.0E0"
"10085";"2007-05-18 00:00:00.000000000";"MAASSBERG";"1000";"1321";"10";"Pumpe PRECISION 101";"115205.6E0";"EUR";"43.0E0"
"10087";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 102";"62400.0E0";"EUR";"24.0E0"
"10088";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 103";"93000.0E0";"EUR";"31.0E0"
"10089";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 104";"42700.0E0";"EUR";"14.0E0"
"10090";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 102";"57200.0E0";"EUR";"22.0E0"
"10091";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 103";"90000.0E0";"EUR";"30.0E0"
"10092";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 104";"45750.0E0";"EUR";"15.0E0"
"10093";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 102";"63000.0E0";"EUR";"21.0E0"
"10094";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 103";"105400.0E0";"EUR";"31.0E0"
"10095";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 104";"58650.0E0";"EUR";"17.0E0"
"10096";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 102";"96000.0E0";"EUR";"32.0E0"
"10097";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 103";"136000.0E0";"EUR";"40.0E0"
"10098";"2007-05-19 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 104";"86250.0E0";"EUR";"25.0E0"
"10101";"2007-05-24 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";""PAQ Bildschirm, 20"", Farbe"";"4928.8E0";"EUR";"4.0E0"
"10104";"2007-05-25 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";""TFT Bildschirm, 17""1"";"2597.2E0";"EUR";"4.0E0"
"10105";"2007-05-25 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";""TFT Bildschirm, 17""1"";"14933.9E0";"EUR";"23.0E0"
"10107";"2007-06-02 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Tastatur Profesional - Modell NATURAL";"22439.4E0";"EUR";"251.0E0"
"10107";"2007-06-02 00:00:00.000000000";"MAASSBERG";"1000";"2007";"20";"Tastatur Standard - Modell EURO";"23500.4E0";"EUR";"392.0E0"
"10107";"2007-06-02 00:00:00.000000000";"MAASSBERG";"1000";"2007";"30";"SIM-Modul 4M x 36, 70 ns";"5724.5E0";"EUR";"107.0E0"
"10107";"2007-06-02 00:00:00.000000000";"MAASSBERG";"1000";"2007";"40";"Festplatte 10.80 GB / SCSI-2-Fast";"71571.6E0";"EUR";"324.0E0"
"10109";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"1900";"10";""Scheinwerfer ""Deluxe"""";"71820.0E0";"EUR";""
"10109";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"1900";"20";"Motorradhelm - Standard";"164100.0E0";"EUR";"547.0E0"
"10110";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Jotachi SN4000";"18743.4E0";"EUR";"13.0E0"
"10110";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"1460";"20";"Flatscreen MS 1585";"10823.4E0";"EUR";"9.0E0"
"10110";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"1460";"30";"MAG DX 17F";"9939.6E0";"EUR";"12.0E0"
"10110";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"1460";"40";"Sunny Sunny 01";"6013.0E0";"EUR";"7.0E0"
"10111";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Flatscreen LE 50 P";"5398.8E0";"EUR";"12.0E0"
"10112";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"Flatscreen LE 50 P";"14497.0E0";"EUR";"35.0E0"
"10112";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"2140";"20";"Sunny Sunny 01";"35002.8E0";"EUR";"42.0E0"
"10112";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"2140";"30";"MAG DX 17F";"34974.0E0";"EUR";"45.0E0"
"10112";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"2140";"40";"Jotachi SN4000";"69790.0E0";"EUR";"50.0E0"
"10113";"2007-06-03 00:00:00.000000000";"MAASSBERG";"1000";"1033";"10";"Flatscreen MS 1585";"52964.4E0";"EUR";"46.0E0"
"10125";"2007-06-04 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"SIM-Modul M8M x 32, 128MB  DDR-RAM";"9324.8E0";"EUR";"124.0E0"
"10125";"2007-06-04 00:00:00.000000000";"MAASSBERG";"1000";"1172";"20";"Tastatur Standard - Modell EURO-Special";"21540.75E0";"EUR";"385.0E0"
"10125";"2007-06-04 00:00:00.000000000";"MAASSBERG";"1000";"1172";"30";"Festplatte 21.49 GB / SCSI-2-Fast";"50281.1E0";"EUR";"179.0E0"
"10125";"2007-06-04 00:00:00.000000000";"MAASSBERG";"1000";"1172";"40";"Prozessor  700  MHz";"19327.0E0";"EUR";"70.0E0"
"10127";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1033";"10";"Gluehlampe 60 Watt klar 220/235V";"30.14E0";"EUR";"80.0E0"
"10128";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1033";"10";"Gluehlampe 60 Watt klar 220/235V";"3.77E0";"EUR";"10.0E0"
"10129";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1300";"10";"Gluehlampe 80 Watt klar 220/235V";"19.66E0";"EUR";"50.0E0"
"10130";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1460";"10";"CD-ROM Laufwerk";"1120.5E0";"EUR";"15.0E0"
"10131";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1001";"10";"Gluehlampe 60 Watt klar 220/235V";"26.38E0";"EUR";"70.0E0"
"10132";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1002";"10";"Gluehlampe 80 Watt klar 220/235V";"31.46E0";"EUR";"80.0E0"
"10133";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"1100.0E0";"EUR";"1.0E0"
"10134";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"48400.0E0";"EUR";"44.0E0"
"10135";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"55000.0E0";"EUR";"44.0E0"
"10136";"2007-06-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"1250.0E0";"EUR";"1.0E0"
"10137";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"2300";"10";""Benzintank ""Deluxe""-Zierstreifen"";"29200.0E0";"EUR";""
"10137";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"2300";"20";""R³cklicht ""Deluxe"""";"21570.0E0";"EUR";"719.0E0"
"10138";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"Sunny Xa1";"6864.9E0";"EUR";"7.0E0"
"10138";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"20";"MAG PA/DX 175";"12161.8E0";"EUR";"14.0E0"
"10138";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"30";"Jotachi SN4500";"12940.2E0";"EUR";"18.0E0"
"10138";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"1172";"40";"Flatscreen MS 1460 P";"10308.0E0";"EUR";"12.0E0"
"10139";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Flatscreen MS 1775P";"16471.0E0";"EUR";"13.0E0"
"10140";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"2004";"10";"MAG PA/DX 175";"40062.4E0";"EUR";"49.0E0"
"10140";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"2004";"20";"Flatscreen MS 1775P";"52866.0E0";"EUR";"44.0E0"
"10140";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"2004";"30";"Flatscreen MS 1460 P";"67200.0E0";"EUR";"48.0E0"
"10140";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"2004";"40";"Sunny Xa1";"43438.5E0";"EUR";"45.0E0"
"10141";"2007-06-07 00:00:00.000000000";"MAASSBERG";"1000";"2200";"10";"Jotachi SN4500";"32545.8E0";"EUR";"49.0E0"
"10147";"2007-06-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"SIM-Modul 256 MB 16M x 32, 70 ns";"11985.6E0";"EUR";"88.0E0"
"10147";"2007-06-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"20";"Tastatur Professional - Modell PROFITEC";"20280.0E0";"EUR";"312.0E0"
"10147";"2007-06-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"30";"Festplatte 42.94 GB / SCSI-2-Fast";"29158.8E0";"EUR";"94.0E0"
"10147";"2007-06-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"40";"Prozessor  500 MHz";"30324.0E0";"EUR";"190.0E0"
"10149";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"1174";"10";"SunFun / 1200 cm3";"1485000.0E0";"EUR";"99.0E0"
"10150";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"SEC Multisync XV15";"13142.4E0";"EUR";"12.0E0"
"10150";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"2130";"20";"Flatscreen LE 64P";"12902.4E0";"EUR";"18.0E0"
"10150";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"2130";"30";"Sunny Tetral3";"6614.3E0";"EUR";"7.0E0"
"10150";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"2130";"40";"Jotachi SN5000";"15544.8E0";"EUR";"18.0E0"
"10151";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"Flatscreen MS 1785P";"21531.2E0";"EUR";"16.0E0"
"10152";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"1033";"10";"Flatscreen MS 1785P";"66493.8E0";"EUR";"51.0E0"
"10152";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"1033";"20";"Jotachi SN5000";"38464.2E0";"EUR";"51.0E0"
"10152";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"1033";"30";"Flatscreen LE 64P";"33000.0E0";"EUR";"30.0E0"
"10152";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"1033";"40";"SEC Multisync XV15";"41536.0E0";"EUR";"40.0E0"
"10153";"2007-06-09 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"Sunny Tetral3";"46878.5E0";"EUR";"53.0E0"
"10159";"2007-06-11 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"Tastatur Professional - Modell MAXITEC";"21122.4E0";"EUR";"312.0E0"
"10159";"2007-06-11 00:00:00.000000000";"MAASSBERG";"1000";"2130";"20";"SIM-Modul 8M x 36, 70 ns";"5837.7E0";"EUR";"61.0E0"
"10159";"2007-06-11 00:00:00.000000000";"MAASSBERG";"1000";"2130";"30";"Festplatte 21.13 GB /  ATA-2";"84370.0E0";"EUR";"325.0E0"
"10165";"2007-06-14 00:00:00.000000000";"MAASSBERG";"1000";"1901";"10";"CrossFun / 350 cm3";"761533.5E0";"USD";"91.0E0"
"10166";"2007-06-14 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"Flatscreen MS 1575P";"8990.4E0";"EUR";"8.0E0"
"10166";"2007-06-14 00:00:00.000000000";"MAASSBERG";"1000";"1172";"20";"MAG DX 15F/Fe";"9448.8E0";"EUR";"12.0E0"
"10166";"2007-06-14 00:00:00.000000000";"MAASSBERG";"1000";"1172";"30";"Jotachi SN 7000";"11566.1E0";"EUR";"13.0E0"
